100     (1754404.4205077738, 1315626.561205063, 580047.0078502977, 6307.634725653295)
200     (1754220.6285707601, 1738188.8310066063, 884887.3151354406, -5488.965157766984)
300     (1753702.615381719, 1926935.1181152563, 963252.5463230386, -18613.599565057648)
400     (1753303.6705971607, 2031753.306131714, 977185.550658136, -29389.3696811359)
500     (1753110.4393043532, 2098619.9252753514, 975921.9946395727, -35537.96830518184)
600     (1753024.8383943995, 2144502.5462513794, 967239.3866918781, -39344.47803500844)
700     (1752923.3488222966, 2177703.2051297035, 955452.9724638932, -42412.9686513985)
800     (1752817.767095199, 2202893.3965344536, 945091.9663876997, -43683.69249821276)
900     (1752742.4108494746, 2222677.876811296, 936234.3238758977, -42684.498629916176)
1000    (1752733.5741105743, 2238695.384082167, 927221.566986619, -41879.88906942094)
1100    (1752659.3256931803, 2251790.3784094765, 919522.1337403157, -40202.54365535493)
1200    (1752648.5961836972, 2262679.9594353065, 912524.8574537595, -37714.54113603827)
1300    (1752617.7079667097, 2272089.418306097, 906069.3304395383, -35039.88241542011)
1400    (1752590.1499734079, 2280072.5474860515, 900071.3049780113, -32912.30934651502)
1500    (1752570.9130746264, 2286947.1918829307, 895537.1368956714, -29831.53998007916)
1600    (1752544.092000121, 2293001.634596662, 890694.802846129, -26133.344402121216)
1700    (1752532.8788244606, 2298398.2372315563, 886316.9894288828, -24234.28289648634)
1800    (1752518.3518306413, 2303156.6669194964, 882321.433637982, -19636.83487924464)
1900    (1752498.3796138696, 2307446.4264897327, 878914.4400799011, -16307.31818105085)
2000    (1752484.012550638, 2311280.9457324166, 876004.0904620335, -13025.778900645013)
2100    (1752480.366676479, 2314783.6814753306, 873125.803244245, -8481.151829276097)
2200    (1752466.8031135632, 2317967.3006569794, 869963.9959836632, -5520.608013824359)
2300    (1752457.0341881292, 2320850.2451777835, 867677.7290944954, -2045.9591489236939)
2400    (1752446.0114092154, 2323521.2931662127, 865019.1769712069, 1742.3854077266321)
2500    (1752439.105911248, 2325937.769398812, 863136.1765480723, 5301.94312048454)
2600    (1752432.4184275179, 2328227.6060826126, 861076.9293173891, 9342.275403093357)
2700    (1752425.817672384, 2330302.2002721177, 859298.8488440783, 12393.6823251546)
2800    (1752420.06488955, 2332244.194012988, 857323.8708546484, 16284.858498634656)
2900    (1752414.4219341446, 2334063.175602383, 855621.4139751979, 21315.960056912238)
3000    (1752409.246958355, 2335748.0201964322, 854078.0968785716, 24649.47459234709)
3100    (1752403.679006523, 2337326.491509601, 852522.3676338876, 29407.366228926454)
3200    (1752398.6757450348, 2338804.5692801066, 851104.6147337494, 33164.165022990506)
3300    (1752394.0157217775, 2340209.01084724, 849738.2830845019, 36074.910436135746)
