# Time-averaged data for fix myat2
# TimeStep v_number_type2_in
2000 133.205
4000 115.025
6000 108.51
8000 103.215
10000 97.385
12000 89.365
14000 81.735
16000 82.455
18000 84.975
20000 84.825
22000 80.23
24000 76.57
26000 73.68
28000 69.26
30000 65.47
32000 62.865
34000 59.95
36000 58.02
38000 58.285
40000 54.395
42000 51.49
44000 48.465
46000 49.25
48000 48.275
50000 44.57
52000 45.505
54000 44.36
56000 44.645
58000 44.525
60000 43.545
62000 43.13
64000 41.5
66000 41.57
68000 40.945
70000 38.56
72000 40.115
74000 36.935
76000 38.145
78000 38.875
80000 38.97
82000 36.215
84000 35.7
86000 36.06
88000 36.595
90000 34.265
92000 32.185
94000 32.895
96000 29.32
98000 29.645
100000 28.075
102000 25.285
104000 27.365
106000 27.71
108000 26.81
110000 27.64
112000 25.905
114000 24.775
116000 22.08
118000 23.89
120000 22.62
122000 20.31
124000 17.815
126000 19.745
128000 20.31
130000 17.975
132000 17.11
134000 15.645
136000 15.955
138000 16.725
140000 18.115
142000 16.825
144000 18.245
146000 16.325
148000 15.6
150000 13.925
152000 12.87
154000 13.965
156000 12.765
158000 9.35
160000 10.955
162000 10.385
164000 10.02
166000 11
168000 11.575
170000 12.78
172000 11.415
174000 11.61
176000 13.55
178000 14.85
180000 14.115
182000 13.34
184000 13.18
186000 14.46
188000 15.54
190000 15.805
192000 14.01
194000 12.49
196000 11.33
198000 11.695
200000 12.08
202000 13.115
204000 11.525
206000 10.745
208000 9.57
210000 10.895
212000 11.83
214000 9.055
216000 10.26
218000 10.93
220000 10.395
222000 10.37
224000 9.675
226000 10.205
228000 9.26
230000 9.19
232000 8.13
234000 8.795
236000 8.155
238000 7.685
240000 6.765
242000 6.645
244000 7.27
246000 5.315
248000 6.385
250000 6.955
252000 6.41
254000 5.655
256000 5.075
258000 5.56
260000 5.745
262000 5.195
264000 3.33
266000 2.655
268000 4.145
270000 3.62
272000 3.44
274000 3.905
276000 3.685
278000 3.375
280000 4.31
282000 4.925
284000 5.13
286000 5.625
288000 4.49
290000 4.78
292000 4.165
294000 3.79
296000 3.545
298000 3.2
300000 3.255
