testDomains/membranedata.71005000.gz,testDomains/membranedata.76005000.gz,testDomains/membranedata.81005000.gz,testDomains/membranedata.86005000.gz,testDomains/membranedata.91005000.gz,testDomains/membranedata.96005000.gz,testDomains/membranedata.101005000.gz,testDomains/membranedata.106005000.gz
1791999.6840742074,1781823.7202935044,1777034.301853797,1775441.3728203906,1770886.4344794084,1767922.0626519462,1764434.9832996174,1762792.4413485967
1745551.271967781,1746642.2837283323,1741413.8035802706,1741865.527630146,1740636.711468441,1743282.5465518534,1741999.4278267385,1740573.0826975082
802713.4641204114,834116.8980933797,845865.492472183,848883.8681043816,857009.4911495801,860698.4291831898,866599.5843770771,871961.9419727786
-5081.508821008826,-6969.0979920012005,-5920.785124751727,-6235.524313147601,-5827.179719037433,-6174.615237581137,-5370.446248227239,-4961.805568333068
